paper_id,claim_id,table_figure,claim,value_script,value_paper,match,value_rewrite,match_rewrite,defect_locus,notes
barari_etal_2024,table_2_believe_trump_mishandled_docs_republican_actual_pct,Table 2,"Believe Trump mishandled docs, Republican, actual (%)",27.1,27.1,1,27.105441001691048,1,NA,
barari_etal_2024,table_2_believe_trump_mishandled_docs_republican_predicted_if_not_for_indictment_pct,Table 2,"Believe Trump mishandled docs, Republican, predicted if not for indictment (%)",24.6,24.6,1,24.620037104344657,1,NA,
barari_etal_2024,table_2_believe_trump_mishandled_docs_republican_counterfactual_difference_pp,Table 2,"Believe Trump mishandled docs, Republican, counterfactual difference (pp)",2.5,2.5,1,2.4854038973464125,1,NA,
barari_etal_2024,table_2_believe_trump_mishandled_docs_republican_counterfactual_standard_error_pp,Table 2,"Believe Trump mishandled docs, Republican, counterfactual standard error (pp)",0.6,0.6,1,0.6263118638086163,1,NA,
barari_etal_2024,table_2_believe_trump_mishandled_docs_republican_counterfactual_p_value,Table 2,"Believe Trump mishandled docs, Republican, counterfactual p-value",NA,NA,NA,7.794006173735811e-5,NA,NA,The article prints this p-value as p < 0.001 rather than as a number; see the row counting those cells
barari_etal_2024,table_2_believe_trump_mishandled_docs_republican_change_format_more_likely_pct,Table 2,"Believe Trump mishandled docs, Republican, change format, more likely (%)",16.2,16.2,1,16.15427023866337,1,NA,
barari_etal_2024,table_2_believe_trump_mishandled_docs_republican_change_format_less_likely_pct,Table 2,"Believe Trump mishandled docs, Republican, change format, less likely (%)",39.6,39.6,1,39.57386408879473,1,NA,
barari_etal_2024,table_2_believe_trump_mishandled_docs_republican_change_format_difference_pp,Table 2,"Believe Trump mishandled docs, Republican, change format difference (pp)",-23.4,-23.4,1,-23.4195938501314,1,NA,
barari_etal_2024,table_2_believe_trump_mishandled_docs_republican_change_format_standard_error_pp,Table 2,"Believe Trump mishandled docs, Republican, change format standard error (pp)",2.8,2.8,1,2.8012574282644422,1,NA,
barari_etal_2024,table_2_believe_trump_mishandled_docs_republican_change_format_p_value,Table 2,"Believe Trump mishandled docs, Republican, change format p-value",NA,NA,NA,2.0630656047211343e-16,NA,NA,The article prints this p-value as p < 0.001 rather than as a number; see the row counting those cells
