"topic","topic2","Topic","primary_party","sign","N","P","measure","threshold","label_Y_position","Label"
"docs","docs","Belief Trump Mishandled Documents","Republican",-1,430,0.427010923535253,"Change",-0.01,0.213505461767627,"Less
likely"
"docs","docs","Belief Trump Mishandled Documents","Republican",0,425,0.422045680238332,"Change",-0.01,0.638033763654419,"No
change"
"docs","docs","Belief Trump Mishandled Documents","Republican",1,152,0.150943396226415,"Change",-0.01,0.924528301886792,"More
likely"
"docs","docs","Belief Trump Mishandled Documents","Democratic",-1,47,0.0493179433368311,"Change",-0.01,0.0246589716684155,NA
"docs","docs","Belief Trump Mishandled Documents","Democratic",0,148,0.155299055613851,"Change",-0.01,0.126967471143757,"No
change"
"docs","docs","Belief Trump Mishandled Documents","Democratic",1,758,0.795383001049318,"Change",-0.01,0.602308499475341,"More
likely"
"docs","docs","Belief Trump Mishandled Documents","Neither",-1,74,0.163355408388521,"Change",-0.01,0.0816777041942605,"Less
likely"
"docs","docs","Belief Trump Mishandled Documents","Neither",0,197,0.434878587196468,"Change",-0.01,0.380794701986755,"No
change"
"docs","docs","Belief Trump Mishandled Documents","Neither",1,182,0.401766004415011,"Change",-0.01,0.799116997792494,"More
likely"
"general","vote","Vote Choice, General Election","Democratic",-1,606,0.63588667366212,"     Change",-0.01,0.31794333683106,NA
"general","vote","Vote Choice, General Election","Democratic",0,286,0.300104931794334,"     Change",-0.01,0.785939139559286,"No
change"
"general","vote","Vote Choice, General Election","Democratic",1,61,0.0640083945435467,"     Change",-0.01,0.967995802728226,"More
likely"
"general","vote","Vote Choice, General Election","Neither",-1,147,0.325942350332594,"     Change",-0.01,0.162971175166297,"Less
likely"
"general","vote","Vote Choice, General Election","Neither",0,208,0.46119733924612,"     Change",-0.01,0.556541019955654,"No
change"
"general","vote","Vote Choice, General Election","Neither",1,96,0.212860310421286,"     Change",-0.01,0.893569844789357,"More
likely"
"primary","vote","Vote Choice, Republican Primary","Republican",-1,172,0.170804369414101,"     Change",-0.01,0.0854021847070506,"Less
likely"
"primary","vote","Vote Choice, Republican Primary","Republican",0,424,0.421052631578947,"     Change",-0.01,0.381330685203575,"No
change"
"primary","vote","Vote Choice, Republican Primary","Republican",1,411,0.408142999006951,"     Change",-0.01,0.795928500496524,"More
likely"
"docs","docs","Belief Trump Mishandled Documents","Republican",-1,430,0.427010923535253,"Change",-0.02,0.213505461767627,"Less
likely"
"docs","docs","Belief Trump Mishandled Documents","Republican",0,425,0.422045680238332,"Change",-0.02,0.638033763654419,"No
change"
"docs","docs","Belief Trump Mishandled Documents","Republican",1,152,0.150943396226415,"Change",-0.02,0.924528301886792,"More
likely"
"docs","docs","Belief Trump Mishandled Documents","Democratic",-1,47,0.0493179433368311,"Change",-0.02,0.0246589716684155,NA
"docs","docs","Belief Trump Mishandled Documents","Democratic",0,148,0.155299055613851,"Change",-0.02,0.126967471143757,"No
change"
"docs","docs","Belief Trump Mishandled Documents","Democratic",1,758,0.795383001049318,"Change",-0.02,0.602308499475341,"More
likely"
"docs","docs","Belief Trump Mishandled Documents","Neither",-1,74,0.163355408388521,"Change",-0.02,0.0816777041942605,"Less
likely"
"docs","docs","Belief Trump Mishandled Documents","Neither",0,197,0.434878587196468,"Change",-0.02,0.380794701986755,"No
change"
"docs","docs","Belief Trump Mishandled Documents","Neither",1,182,0.401766004415011,"Change",-0.02,0.799116997792494,"More
likely"
"general","vote","Vote Choice, General Election","Democratic",-1,606,0.63588667366212,"     Change",-0.02,0.31794333683106,NA
"general","vote","Vote Choice, General Election","Democratic",0,286,0.300104931794334,"     Change",-0.02,0.785939139559286,"No
change"
"general","vote","Vote Choice, General Election","Democratic",1,61,0.0640083945435467,"     Change",-0.02,0.967995802728226,"More
likely"
"general","vote","Vote Choice, General Election","Neither",-1,147,0.325942350332594,"     Change",-0.02,0.162971175166297,"Less
likely"
"general","vote","Vote Choice, General Election","Neither",0,208,0.46119733924612,"     Change",-0.02,0.556541019955654,"No
change"
"general","vote","Vote Choice, General Election","Neither",1,96,0.212860310421286,"     Change",-0.02,0.893569844789357,"More
likely"
"primary","vote","Vote Choice, Republican Primary","Republican",-1,172,0.170804369414101,"     Change",-0.02,0.0854021847070506,"Less
likely"
"primary","vote","Vote Choice, Republican Primary","Republican",0,424,0.421052631578947,"     Change",-0.02,0.381330685203575,"No
change"
"primary","vote","Vote Choice, Republican Primary","Republican",1,411,0.408142999006951,"     Change",-0.02,0.795928500496524,"More
likely"
"docs","docs","Belief Trump Mishandled Documents","Republican",-1,430,0.427010923535253,"Change",-0.03,0.213505461767627,"Less
likely"
"docs","docs","Belief Trump Mishandled Documents","Republican",0,425,0.422045680238332,"Change",-0.03,0.638033763654419,"No
change"
"docs","docs","Belief Trump Mishandled Documents","Republican",1,152,0.150943396226415,"Change",-0.03,0.924528301886792,"More
likely"
"docs","docs","Belief Trump Mishandled Documents","Democratic",-1,47,0.0493179433368311,"Change",-0.03,0.0246589716684155,NA
"docs","docs","Belief Trump Mishandled Documents","Democratic",0,148,0.155299055613851,"Change",-0.03,0.126967471143757,"No
change"
"docs","docs","Belief Trump Mishandled Documents","Democratic",1,758,0.795383001049318,"Change",-0.03,0.602308499475341,"More
likely"
"docs","docs","Belief Trump Mishandled Documents","Neither",-1,74,0.163355408388521,"Change",-0.03,0.0816777041942605,"Less
likely"
"docs","docs","Belief Trump Mishandled Documents","Neither",0,197,0.434878587196468,"Change",-0.03,0.380794701986755,"No
change"
"docs","docs","Belief Trump Mishandled Documents","Neither",1,182,0.401766004415011,"Change",-0.03,0.799116997792494,"More
likely"
"general","vote","Vote Choice, General Election","Democratic",-1,606,0.63588667366212,"     Change",-0.03,0.31794333683106,NA
"general","vote","Vote Choice, General Election","Democratic",0,286,0.300104931794334,"     Change",-0.03,0.785939139559286,"No
change"
"general","vote","Vote Choice, General Election","Democratic",1,61,0.0640083945435467,"     Change",-0.03,0.967995802728226,"More
likely"
"general","vote","Vote Choice, General Election","Neither",-1,147,0.325942350332594,"     Change",-0.03,0.162971175166297,"Less
likely"
"general","vote","Vote Choice, General Election","Neither",0,208,0.46119733924612,"     Change",-0.03,0.556541019955654,"No
change"
"general","vote","Vote Choice, General Election","Neither",1,96,0.212860310421286,"     Change",-0.03,0.893569844789357,"More
likely"
"primary","vote","Vote Choice, Republican Primary","Republican",-1,172,0.170804369414101,"     Change",-0.03,0.0854021847070506,"Less
likely"
"primary","vote","Vote Choice, Republican Primary","Republican",0,424,0.421052631578947,"     Change",-0.03,0.381330685203575,"No
change"
"primary","vote","Vote Choice, Republican Primary","Republican",1,411,0.408142999006951,"     Change",-0.03,0.795928500496524,"More
likely"
"docs","docs","Belief Trump Mishandled Documents","Republican",-1,430,0.427010923535253,"Change",-0.04,0.213505461767627,"Less
likely"
"docs","docs","Belief Trump Mishandled Documents","Republican",0,425,0.422045680238332,"Change",-0.04,0.638033763654419,"No
change"
"docs","docs","Belief Trump Mishandled Documents","Republican",1,152,0.150943396226415,"Change",-0.04,0.924528301886792,"More
likely"
"docs","docs","Belief Trump Mishandled Documents","Democratic",-1,47,0.0493179433368311,"Change",-0.04,0.0246589716684155,NA
"docs","docs","Belief Trump Mishandled Documents","Democratic",0,148,0.155299055613851,"Change",-0.04,0.126967471143757,"No
change"
"docs","docs","Belief Trump Mishandled Documents","Democratic",1,758,0.795383001049318,"Change",-0.04,0.602308499475341,"More
likely"
"docs","docs","Belief Trump Mishandled Documents","Neither",-1,74,0.163355408388521,"Change",-0.04,0.0816777041942605,"Less
likely"
"docs","docs","Belief Trump Mishandled Documents","Neither",0,197,0.434878587196468,"Change",-0.04,0.380794701986755,"No
change"
"docs","docs","Belief Trump Mishandled Documents","Neither",1,182,0.401766004415011,"Change",-0.04,0.799116997792494,"More
likely"
"general","vote","Vote Choice, General Election","Democratic",-1,606,0.63588667366212,"     Change",-0.04,0.31794333683106,NA
"general","vote","Vote Choice, General Election","Democratic",0,286,0.300104931794334,"     Change",-0.04,0.785939139559286,"No
change"
"general","vote","Vote Choice, General Election","Democratic",1,61,0.0640083945435467,"     Change",-0.04,0.967995802728226,"More
likely"
"general","vote","Vote Choice, General Election","Neither",-1,147,0.325942350332594,"     Change",-0.04,0.162971175166297,"Less
likely"
"general","vote","Vote Choice, General Election","Neither",0,208,0.46119733924612,"     Change",-0.04,0.556541019955654,"No
change"
"general","vote","Vote Choice, General Election","Neither",1,96,0.212860310421286,"     Change",-0.04,0.893569844789357,"More
likely"
"primary","vote","Vote Choice, Republican Primary","Republican",-1,172,0.170804369414101,"     Change",-0.04,0.0854021847070506,"Less
likely"
"primary","vote","Vote Choice, Republican Primary","Republican",0,424,0.421052631578947,"     Change",-0.04,0.381330685203575,"No
change"
"primary","vote","Vote Choice, Republican Primary","Republican",1,411,0.408142999006951,"     Change",-0.04,0.795928500496524,"More
likely"
"docs","docs","Belief Trump Mishandled Documents","Republican",-1,430,0.427010923535253,"Change",-0.05,0.213505461767627,"Less
likely"
"docs","docs","Belief Trump Mishandled Documents","Republican",0,425,0.422045680238332,"Change",-0.05,0.638033763654419,"No
change"
"docs","docs","Belief Trump Mishandled Documents","Republican",1,152,0.150943396226415,"Change",-0.05,0.924528301886792,"More
likely"
"docs","docs","Belief Trump Mishandled Documents","Democratic",-1,47,0.0493179433368311,"Change",-0.05,0.0246589716684155,NA
"docs","docs","Belief Trump Mishandled Documents","Democratic",0,148,0.155299055613851,"Change",-0.05,0.126967471143757,"No
change"
"docs","docs","Belief Trump Mishandled Documents","Democratic",1,758,0.795383001049318,"Change",-0.05,0.602308499475341,"More
likely"
"docs","docs","Belief Trump Mishandled Documents","Neither",-1,74,0.163355408388521,"Change",-0.05,0.0816777041942605,"Less
likely"
