table,row_index,col_index,cell
table_2,1,1,docs
table_2,1,2,Believe Trump
table_2,1,3,Republican
table_2,1,4,27.1
table_2,1,5,24.6
table_2,1,6,+2.5*
table_2,1,7,16.2
table_2,1,8,39.6
table_2,1,9,-23.4*
table_2,2,1,docs
table_2,2,2,mishandled docs
table_2,2,3,
table_2,2,4,
table_2,2,5,
table_2,2,6,(0.6)
table_2,2,7,
table_2,2,8,
table_2,2,9,(2.8)
table_2,3,1,docs
table_2,3,2,
table_2,3,3,Democratic
table_2,3,4,85.3
table_2,3,5,79.5
table_2,3,6,5.8*
table_2,3,7,76.0
table_2,3,8,5.0
table_2,3,9,71.0*
table_2,4,1,docs
table_2,4,2,
table_2,4,3,
table_2,4,4,
table_2,4,5,
table_2,4,6,(0.6)
table_2,4,7,
table_2,4,8,
table_2,4,9,(2.3)
table_2,5,1,docs
table_2,5,2,
table_2,5,3,Neither
table_2,5,4,55.7
table_2,5,5,54.2
table_2,5,6,1.5
table_2,5,7,37.4
table_2,5,8,15.7
table_2,5,9,21.6*
table_2,6,1,docs
table_2,6,2,
table_2,6,3,
table_2,6,4,
table_2,6,5,
table_2,6,6,(0.9)
table_2,6,7,
table_2,6,8,
table_2,6,9,(3.9)
table_2,7,1,general
table_2,7,2,Vote for Trump
table_2,7,3,Democratic
table_2,7,4,11.1
table_2,7,5,10.1
table_2,7,6,+0.9
table_2,7,7,8.0
table_2,7,8,60.2
table_2,7,9,-52.1*
table_2,8,1,general
table_2,8,2,(general election)
table_2,8,3,
table_2,8,4,
table_2,8,5,
table_2,8,6,(0.8)
table_2,8,7,
table_2,8,8,
table_2,8,9,(2.7)
table_2,9,1,general
table_2,9,2,
table_2,9,3,Neither
table_2,9,4,42.2
table_2,9,5,41.9
table_2,9,6,+0.3
table_2,9,7,20.3
table_2,9,8,30.8
table_2,9,9,-10.5*
table_2,10,1,general
table_2,10,2,
table_2,10,3,
table_2,10,4,
table_2,10,5,
table_2,10,6,(0.9)
table_2,10,7,
table_2,10,8,
table_2,10,9,(4.0)
table_2,11,1,primary
table_2,11,2,Vote for Trump
table_2,11,3,Republican
table_2,11,4,64.1
table_2,11,5,65.7
table_2,11,6,-1.6*
table_2,11,7,43.0
table_2,11,8,16.3
table_2,11,9,26.7*
table_2,12,1,primary
table_2,12,2,(primary election)
table_2,12,3,
table_2,12,4,
table_2,12,5,
table_2,12,6,(0.6)
table_2,12,7,
table_2,12,8,
table_2,12,9,(2.9)
table_a2_beliefs,1,1,Effect
table_a2_beliefs,1,2,Format
table_a2_beliefs,1,3,Republican
table_a2_beliefs,1,4,Democratic
table_a2_beliefs,1,5,Neither
table_a2_beliefs,2,1,\addlinespace Positive
table_a2_beliefs,2,2,Change
table_a2_beliefs,2,3,16.2
table_a2_beliefs,2,4,76.0
table_a2_beliefs,2,5,37.4
table_a2_beliefs,3,1,
table_a2_beliefs,3,2,Counterfactual
table_a2_beliefs,3,3,33.3
table_a2_beliefs,3,4,36.5
table_a2_beliefs,3,5,29.5
table_a2_beliefs,4,1,\addlinespace
table_a2_beliefs,4,2,~~ 1-5 percent
table_a2_beliefs,4,3,13.1
table_a2_beliefs,4,4,9.7
table_a2_beliefs,4,5,11.3
table_a2_beliefs,5,1,
table_a2_beliefs,5,2,~~ 6-10 percent
table_a2_beliefs,5,3,6.1
table_a2_beliefs,5,4,4.9
table_a2_beliefs,5,5,4.8
table_a2_beliefs,6,1,
table_a2_beliefs,6,2,~~ 11-20 percent
table_a2_beliefs,6,3,6.6
table_a2_beliefs,6,4,8.4
table_a2_beliefs,6,5,6.2
table_a2_beliefs,7,1,
table_a2_beliefs,7,2,~~ 20 pct. or more
table_a2_beliefs,7,3,7.5
table_a2_beliefs,7,4,13.4
table_a2_beliefs,7,5,7.3
table_a2_beliefs,8,1,\addlinespace Negative
table_a2_beliefs,8,2,Change
table_a2_beliefs,8,3,39.6
table_a2_beliefs,8,4,5.0
table_a2_beliefs,8,5,15.7
table_a2_beliefs,9,1,
table_a2_beliefs,9,2,Counterfactual
table_a2_beliefs,9,3,15.0
table_a2_beliefs,9,4,11.9
table_a2_beliefs,9,5,20.5
table_a2_beliefs,10,1,\addlinespace
table_a2_beliefs,10,2,~~ 1-5 percent
table_a2_beliefs,10,3,7.9
table_a2_beliefs,10,4,6.5
table_a2_beliefs,10,5,9.2
table_a2_beliefs,11,1,
table_a2_beliefs,11,2,~~ 6-10 percent
table_a2_beliefs,11,3,2.6
table_a2_beliefs,11,4,3.1
table_a2_beliefs,11,5,4.8
table_a2_beliefs,12,1,
table_a2_beliefs,12,2,~~ 11-20 percent
table_a2_beliefs,12,3,1.5
table_a2_beliefs,12,4,1.3
table_a2_beliefs,12,5,2.1
table_a2_beliefs,13,1,
table_a2_beliefs,13,2,~~ 20 pct. or more
table_a2_beliefs,13,3,3.0
table_a2_beliefs,13,4,1.0
table_a2_beliefs,13,5,4.3
table_a2_beliefs,14,1,\addlinespace No effect
table_a2_beliefs,14,2,Change
table_a2_beliefs,14,3,44.3
table_a2_beliefs,14,4,19.0
table_a2_beliefs,14,5,46.9
table_a2_beliefs,15,1,
table_a2_beliefs,15,2,Counterfactual
table_a2_beliefs,15,3,51.8
table_a2_beliefs,15,4,51.6
table_a2_beliefs,15,5,50.0
table_a2_vote,1,1,Effect
table_a2_vote,1,2,Format
table_a2_vote,1,3,Republican
table_a2_vote,1,4,Democratic
table_a2_vote,1,5,Neither
table_a2_vote,2,1,\addlinespace Positive
table_a2_vote,2,2,Change
table_a2_vote,2,3,43.0
table_a2_vote,2,4,8.0
table_a2_vote,2,5,20.3
table_a2_vote,3,1,
table_a2_vote,3,2,Counterfactual
table_a2_vote,3,3,13.0
table_a2_vote,3,4,13.3
table_a2_vote,3,5,22.6
table_a2_vote,4,1,\addlinespace
table_a2_vote,4,2,~~ 1-5 percent
table_a2_vote,4,3,7.8
table_a2_vote,4,4,7.4
table_a2_vote,4,5,11.1
table_a2_vote,5,1,
table_a2_vote,5,2,~~ 6-10 percent
table_a2_vote,5,3,1.4
table_a2_vote,5,4,1.5
table_a2_vote,5,5,2.7
table_a2_vote,6,1,
table_a2_vote,6,2,~~ 11-20 percent
table_a2_vote,6,3,2.2
table_a2_vote,6,4,1.0
table_a2_vote,6,5,4.1
table_a2_vote,7,1,
table_a2_vote,7,2,~~ 20 pct. or more
table_a2_vote,7,3,1.5
table_a2_vote,7,4,3.4
table_a2_vote,7,5,4.6
table_a2_vote,8,1,\addlinespace Negative
table_a2_vote,8,2,Change
table_a2_vote,8,3,16.3
table_a2_vote,8,4,60.2
table_a2_vote,8,5,30.8
table_a2_vote,9,1,
table_a2_vote,9,2,Counterfactual
table_a2_vote,9,3,17.7
table_a2_vote,9,4,14.1
table_a2_vote,9,5,19.9
table_a2_vote,10,1,\addlinespace
table_a2_vote,10,2,~~ 1-5 percent
table_a2_vote,10,3,9.4
table_a2_vote,10,4,8.8
table_a2_vote,10,5,8.3
table_a2_vote,11,1,
table_a2_vote,11,2,~~ 6-10 percent
table_a2_vote,11,3,2.2
table_a2_vote,11,4,1.2
table_a2_vote,11,5,4.1
table_a2_vote,12,1,
table_a2_vote,12,2,~~ 11-20 percent
table_a2_vote,12,3,2.0
table_a2_vote,12,4,3.3
table_a2_vote,12,5,3.5
table_a2_vote,13,1,
table_a2_vote,13,2,~~ 20 pct. or more
table_a2_vote,13,3,4.1
table_a2_vote,13,4,0.9
table_a2_vote,13,5,3.9
table_a2_vote,14,1,\addlinespace No effect
table_a2_vote,14,2,Change
table_a2_vote,14,3,40.7
table_a2_vote,14,4,31.8
table_a2_vote,14,5,48.8
table_a2_vote,15,1,
table_a2_vote,15,2,Counterfactual
table_a2_vote,15,3,69.3
table_a2_vote,15,4,72.5
table_a2_vote,15,5,57.5
table_a3,1,1,docs
table_a3,1,2,Believe Trump
table_a3,1,3,Republican
table_a3,1,4,25.0
table_a3,1,5,22.5
table_a3,1,6,+2.5*
table_a3,1,7,16.7
table_a3,1,8,38.5
table_a3,1,9,-21.8*
table_a3,2,1,docs
table_a3,2,2,mishandled docs
table_a3,2,3,
table_a3,2,4,
table_a3,2,5,
table_a3,2,6,(0.6)
table_a3,2,7,
table_a3,2,8,
table_a3,2,9,(2.8)
table_a3,3,1,docs
table_a3,3,2,
table_a3,3,3,Democrat
table_a3,3,4,85.4
table_a3,3,5,80.3
table_a3,3,6,5.2*
table_a3,3,7,73.9
table_a3,3,8,6.1
table_a3,3,9,67.8*
table_a3,4,1,docs
table_a3,4,2,
table_a3,4,3,
table_a3,4,4,
table_a3,4,5,
table_a3,4,6,(0.6)
table_a3,4,7,
table_a3,4,8,
table_a3,4,9,(2.5)
table_a3,5,1,docs
table_a3,5,2,
table_a3,5,3,Independent
table_a3,5,4,59.2
table_a3,5,5,56.7
table_a3,5,6,2.5*
