topic,topic2,Topic,party,sign,N,P,measure,threshold,label_Y_position,Label
docs,docs,Belief Trump Mishandled Docs,Republican,-1,430,0.424901185770751,Change,-0.01,0.2124505928853755,"Less
likely"
docs,docs,Belief Trump Mishandled Docs,Republican,0,436,0.4308300395256917,Change,-0.01,0.6403162055335968,"No
change"
docs,docs,Belief Trump Mishandled Docs,Republican,1,146,0.1442687747035573,Change,-0.01,0.9278656126482213,"More
likely"
docs,docs,Belief Trump Mishandled Docs,Democrat,-1,52,0.052845528455284556,Change,-0.01,0.026422764227642278,NA
docs,docs,Belief Trump Mishandled Docs,Democrat,0,154,0.1565040650406504,Change,-0.01,0.13109756097560976,"No
change"
docs,docs,Belief Trump Mishandled Docs,Democrat,1,778,0.790650406504065,Change,-0.01,0.6046747967479675,"More
likely"
docs,docs,Belief Trump Mishandled Docs,Independent,-1,61,0.1639784946236559,Change,-0.01,0.08198924731182795,"Less
likely"
docs,docs,Belief Trump Mishandled Docs,Independent,0,155,0.4166666666666667,Change,-0.01,0.37231182795698925,"No
change"
docs,docs,Belief Trump Mishandled Docs,Independent,1,156,0.41935483870967744,Change,-0.01,0.7903225806451613,"More
likely"
general,vote,"Vote Choice, General Election",Republican,-1,21,0.18584070796460178,     Change,-0.01,0.09292035398230089,"Less
likely"
general,vote,"Vote Choice, General Election",Republican,0,52,0.46017699115044247,     Change,-0.01,0.415929203539823,"No
change"
general,vote,"Vote Choice, General Election",Republican,1,40,0.35398230088495575,     Change,-0.01,0.8230088495575221,"More
likely"
general,vote,"Vote Choice, General Election",Democrat,-1,609,0.6437632135306554,     Change,-0.01,0.3218816067653277,NA
general,vote,"Vote Choice, General Election",Democrat,0,283,0.29915433403805497,     Change,-0.01,0.7933403805496829,"No
change"
general,vote,"Vote Choice, General Election",Democrat,1,54,0.05708245243128964,     Change,-0.01,0.9714587737843552,"More
likely"
general,vote,"Vote Choice, General Election",Independent,-1,112,0.358974358974359,     Change,-0.01,0.1794871794871795,"Less
likely"
general,vote,"Vote Choice, General Election",Independent,0,140,0.44871794871794873,     Change,-0.01,0.5833333333333334,"No
change"
general,vote,"Vote Choice, General Election",Independent,1,60,0.19230769230769232,     Change,-0.01,0.9038461538461539,"More
likely"
primary,vote,"Vote Choice, Republican Primary",Republican,-1,131,0.14523281596452328,     Change,-0.01,0.07261640798226164,"Less
likely"
primary,vote,"Vote Choice, Republican Primary",Republican,0,380,0.4212860310421286,     Change,-0.01,0.3558758314855876,"No
change"
primary,vote,"Vote Choice, Republican Primary",Republican,1,391,0.4334811529933481,     Change,-0.01,0.7832594235033259,"More
likely"
primary,vote,"Vote Choice, Republican Primary",Democrat,-1,22,0.55,     Change,-0.01,0.275,NA
primary,vote,"Vote Choice, Republican Primary",Democrat,0,12,0.3,     Change,-0.01,0.7000000000000001,"No
change"
primary,vote,"Vote Choice, Republican Primary",Democrat,1,6,0.15,     Change,-0.01,0.925,"More
likely"
primary,vote,"Vote Choice, Republican Primary",Independent,-1,18,0.32142857142857145,     Change,-0.01,0.16071428571428573,"Less
likely"
primary,vote,"Vote Choice, Republican Primary",Independent,0,26,0.4642857142857143,     Change,-0.01,0.5535714285714286,"No
change"
primary,vote,"Vote Choice, Republican Primary",Independent,1,12,0.21428571428571427,     Change,-0.01,0.8928571428571429,"More
likely"
docs,docs,Belief Trump Mishandled Docs,Republican,-1,430,0.424901185770751,Change,-0.02,0.2124505928853755,"Less
likely"
docs,docs,Belief Trump Mishandled Docs,Republican,0,436,0.4308300395256917,Change,-0.02,0.6403162055335968,"No
change"
docs,docs,Belief Trump Mishandled Docs,Republican,1,146,0.1442687747035573,Change,-0.02,0.9278656126482213,"More
likely"
docs,docs,Belief Trump Mishandled Docs,Democrat,-1,52,0.052845528455284556,Change,-0.02,0.026422764227642278,NA
docs,docs,Belief Trump Mishandled Docs,Democrat,0,154,0.1565040650406504,Change,-0.02,0.13109756097560976,"No
change"
docs,docs,Belief Trump Mishandled Docs,Democrat,1,778,0.790650406504065,Change,-0.02,0.6046747967479675,"More
likely"
docs,docs,Belief Trump Mishandled Docs,Independent,-1,61,0.1639784946236559,Change,-0.02,0.08198924731182795,"Less
likely"
docs,docs,Belief Trump Mishandled Docs,Independent,0,155,0.4166666666666667,Change,-0.02,0.37231182795698925,"No
change"
docs,docs,Belief Trump Mishandled Docs,Independent,1,156,0.41935483870967744,Change,-0.02,0.7903225806451613,"More
likely"
general,vote,"Vote Choice, General Election",Republican,-1,21,0.18584070796460178,     Change,-0.02,0.09292035398230089,"Less
likely"
general,vote,"Vote Choice, General Election",Republican,0,52,0.46017699115044247,     Change,-0.02,0.415929203539823,"No
change"
general,vote,"Vote Choice, General Election",Republican,1,40,0.35398230088495575,     Change,-0.02,0.8230088495575221,"More
likely"
general,vote,"Vote Choice, General Election",Democrat,-1,609,0.6437632135306554,     Change,-0.02,0.3218816067653277,NA
general,vote,"Vote Choice, General Election",Democrat,0,283,0.29915433403805497,     Change,-0.02,0.7933403805496829,"No
change"
general,vote,"Vote Choice, General Election",Democrat,1,54,0.05708245243128964,     Change,-0.02,0.9714587737843552,"More
likely"
general,vote,"Vote Choice, General Election",Independent,-1,112,0.358974358974359,     Change,-0.02,0.1794871794871795,"Less
likely"
general,vote,"Vote Choice, General Election",Independent,0,140,0.44871794871794873,     Change,-0.02,0.5833333333333334,"No
change"
general,vote,"Vote Choice, General Election",Independent,1,60,0.19230769230769232,     Change,-0.02,0.9038461538461539,"More
likely"
primary,vote,"Vote Choice, Republican Primary",Republican,-1,131,0.14523281596452328,     Change,-0.02,0.07261640798226164,"Less
likely"
primary,vote,"Vote Choice, Republican Primary",Republican,0,380,0.4212860310421286,     Change,-0.02,0.3558758314855876,"No
change"
primary,vote,"Vote Choice, Republican Primary",Republican,1,391,0.4334811529933481,     Change,-0.02,0.7832594235033259,"More
likely"
primary,vote,"Vote Choice, Republican Primary",Democrat,-1,22,0.55,     Change,-0.02,0.275,NA
primary,vote,"Vote Choice, Republican Primary",Democrat,0,12,0.3,     Change,-0.02,0.7000000000000001,"No
change"
primary,vote,"Vote Choice, Republican Primary",Democrat,1,6,0.15,     Change,-0.02,0.925,"More
likely"
primary,vote,"Vote Choice, Republican Primary",Independent,-1,18,0.32142857142857145,     Change,-0.02,0.16071428571428573,"Less
likely"
